NAME                                               VERSION                                             TYPE   
@babel/code-frame                                  7.18.6                                              npm     
@babel/helper-module-imports                       7.18.6                                              npm     
@babel/helper-string-parser                        7.19.4                                              npm     
@babel/helper-validator-identifier                 7.19.1                                              npm     
@babel/highlight                                   7.18.6                                              npm     
@babel/runtime                                     7.15.4                                              npm     
@babel/runtime                                     7.21.0                                              npm     
@babel/types                                       7.21.3                                              npm     
@colors/colors                                     1.5.0                                               npm     
@edge-runtime/cookies                              3.0.4                                               npm     
@edge-runtime/primitives                           2.0.5                                               npm     
@emotion/babel-plugin                              11.10.6                                             npm     
@emotion/cache                                     11.10.5                                             npm     
@emotion/hash                                      0.9.0                                               npm     
@emotion/memoize                                   0.8.0                                               npm     
@emotion/react                                     11.10.6                                             npm     
@emotion/serialize                                 1.1.1                                               npm     
@emotion/server                                    11.10.0                                             npm     
@emotion/sheet                                     1.2.1                                               npm     
@emotion/unitless                                  0.8.0                                               npm     
@emotion/use-insertion-effect-with-fallbacks       1.0.0                                               npm     
@emotion/utils                                     1.2.0                                               npm     
@emotion/weak-memoize                              0.3.0                                               npm     
@floating-ui/core                                  1.2.5                                               npm     
@floating-ui/dom                                   1.2.5                                               npm     
@floating-ui/react                                 0.19.2                                              npm     
@floating-ui/react-dom                             1.3.0                                               npm     
@gar/promisify                                     1.1.3                                               npm     
@isaacs/string-locale-compare                      1.1.0                                               npm     
@mantine/core                                      6.0.4                                               npm     
@mantine/form                                      6.0.4                                               npm     
@mantine/hooks                                     6.0.4                                               npm     
@mantine/modals                                    6.0.4                                               npm     
@mantine/next                                      6.0.4                                               npm     
@mantine/notifications                             6.0.4                                               npm     
@mantine/nprogress                                 6.0.4                                               npm     
@mantine/prism                                     6.0.4                                               npm     
@mantine/spotlight                                 6.0.4                                               npm     
@mantine/ssr                                       6.0.4                                               npm     
@mantine/styles                                    6.0.4                                               npm     
@mantine/utils                                     6.0.4                                               npm     
@my-scope/package-a                                0.0.0                                               npm     
@my-scope/package-b                                0.0.0                                               npm     
@next-auth/prisma-adapter                          1.0.5                                               npm     
@next/env                                          13.2.4                                              npm     
@npmcli/arborist                                   6.1.3                                               npm     
@npmcli/config                                     6.1.0                                               npm     
@npmcli/disparity-colors                           3.0.0                                               npm     
@npmcli/fs                                         2.1.2                                               npm     
@npmcli/fs                                         3.1.0                                               npm     
@npmcli/git                                        4.0.3                                               npm     
@npmcli/installed-package-contents                 2.0.1                                               npm     
@npmcli/map-workspaces                             3.0.0                                               npm     
@npmcli/metavuln-calculator                        5.0.0                                               npm     
@npmcli/move-file                                  2.0.1                                               npm     
@npmcli/name-from-folder                           1.0.1                                               npm     
@npmcli/node-gyp                                   3.0.0                                               npm     
@npmcli/package-json                               3.0.0                                               npm     
@npmcli/promise-spawn                              6.0.1                                               npm     
@npmcli/query                                      3.0.0                                               npm     
@npmcli/run-script                                 6.0.0                                               npm     
@panva/hkdf                                        1.0.4                                               npm     
@prisma/client                                     4.11.0                                              npm     
@prisma/engines                                    4.11.0                                              npm     
@prisma/engines-version                            4.11.0-57.8fde8fef4033376662cad983758335009d522acb  npm     
